ICN_ID;SPECIES;SEX;SGL;C-C;IOB;POB;HSB;CCL;BL;GL;ZB;M-M;OZR;CBL;MB;HSH;UZR;UKL;CH
23250;Glossophaga soricina;M;2.049;0.23;0.404;0.453;0.863;1.876;1.771;1.13;0.926;0.55;0.729;1.948;0.883;0.857;0.734;1.289;0.402
12025;Lionycteris spurrelli;F;2.005;0.216;0.389;0.425;0.871;1.85;1.729;1.006;0.906;0.543;0.673;1.926;0.87;0.79;0.671;1.26;0.363
12734;Lionycteris spurrelli;F;1.912;0.18;0.382;0.457;0.856;1.767;1.654;0.943;0.858;0.529;0.626;1.847;0.873;0.825;0.63;1.225;0.367
22598;Lionycteris spurrelli;F;1.968;0.202;0.393;0.43;0.862;1.839;1.717;0.977;0.916;0.573;0.665;1.889;0.889;0.809;0.653;1.225;0.389
23197;Lionycteris spurrelli;F;2.011;0.203;0.392;0.454;0.847;1.857;1.71;1.02;0.906;0.524;0.626;1.939;0.87;0.798;0.672;1.313;0.441
24131;Lionycteris spurrelli;F;1.946;0.202;0.38;0.446;0.859;1.81;1.683;0.977;0.907;0.544;0.677;1.849;0.883;0.83;0.647;1.235;0.398
24132;Lionycteris spurrelli;F;1.96;0.2;0.383;0.446;0.877;1.823;1.668;0.959;0.924;0.531;0.678;1.885;0.918;0.85;0.674;1.268;0.38
24133;Lionycteris spurrelli;F;2.108;0.207;0.399;0.454;0.886;1.944;1.817;1.061;0.938;0.556;0.703;2.003;0.922;0.839;0.687;1.371;0.422
24134;Lionycteris spurrelli;F;2.047;0.21;0.391;0.45;0.862;1.89;1.771;1.028;0.917;0.548;0.692;1.966;0.893;0.836;0.695;1.311;0.409
24137;Lionycteris spurrelli;F;2.007;0.189;0.397;0.438;0.839;1.828;1.712;0.983;0.904;0.532;0.667;1.894;0.869;0.787;0.666;1.297;0.407
24138;Lionycteris spurrelli;F;1.967;0.212;0.382;0.425;0.836;1.798;1.711;1.009;0.908;0.554;0.676;1.868;0.876;0.799;0.679;1.205;0.398
24235;Lionycteris spurrelli;F;1.987;0.201;0.383;0.443;0.859;1.827;1.74;0.99;0.954;0.564;0.671;1.908;0.904;0.806;0.68;1.284;0.423
